rank,state,sq_mi
1,Alaska,665384.0
2,Texas,268596.5
3,California,163694.7
4,Montana,147039.7
5,New Mexico,121590.3
6,Arizona,113990.3
7,Nevada,110571.8
8,Colorado,104093.7
9,Oregon,98378.5
10,Wyoming,97813.0
11,Michigan,96713.5
12,Minnesota,86935.8
13,Utah,84896.9
14,Idaho,83569.0
15,Kansas,82278.4
16,Nebraska,77347.8
17,South Dakota,77115.7
18,Washington,71298.0
19,North Dakota,70698.3
20,Oklahoma,69898.9
21,Missouri,69707.0
22,Florida,65757.7
23,Wisconsin,65496.4
24,Georgia,59425.2
25,Illinois,57913.6
26,Iowa,56272.8
27,New York,54555.0
28,North Carolina,53819.2
29,Arkansas,53178.6
30,Alabama,52420.1
31,Louisiana,52378.1
32,Mississippi,48431.8
33,Pennsylvania,46054.4
34,Ohio,44825.6
35,Virginia,42774.9
36,Tennessee,42144.3
37,Kentucky,40407.8
38,Indiana,36419.6
39,Maine,35379.7
40,South Carolina,32020.5
41,West Virginia,24230.0
42,Maryland,12405.9
43,Hawaii,10931.7
44,Massachusetts,10554.4
45,Vermont,9616.4
46,New Hampshire,9349.2
47,New Jersey,8722.6
48,Connecticut,5543.4
49,Delaware,2488.7
50,Rhode Island,1544.9
