,year,date,mag,lat,lon
723,2011,2011-01-09,1,27.7107,-97.9663
733,2011,2011-03-31,1,27.8716,-82.8509
736,2011,2011-03-31,1,27.8983,-82.6935
738,2011,2011-05-13,0,29.2061,-90.0433
741,2011,2011-05-13,0,29.35,-89.53
743,2011,2011-08-25,0,28.574,-96.565
747,2011,2011-09-17,1,27.8685,-97.9442
750,2012,2012-01-09,0,29.3492,-95.5771
753,2012,2012-01-09,0,29.2654,-95.44
759,2012,2012-01-09,0,29.2827,-95.4356
761,2012,2012-01-26,0,29.3038,-89.3808
764,2012,2012-03-20,0,28.881,-97.7177
771,2012,2012-03-29,0,26.5939,-97.6976
775,2012,2012-04-16,1,27.8748,-97.3063
778,2012,2012-04-16,0,27.92,-97.26
780,2012,2012-04-16,0,27.92,-97.23
785,2012,2012-04-16,0,27.294,-97.705
791,2012,2012-04-16,0,27.2504,-97.7776
794,2012,2012-04-20,0,26.4561,-97.7806
797,2012,2012-04-20,0,26.1202,-97.73299999999999
803,2012,2012-05-08,0,27.7364,-97.3628
808,2012,2012-05-09,1,29.2206,-90.0237
812,2012,2012-05-10,0,27.4215,-97.9125
815,2012,2012-05-10,0,29.1098,-97.912
818,2012,2012-05-10,0,28.647,-98.09899999999999
822,2012,2012-05-10,0,28.6193,-98.035
826,2012,2012-05-10,0,28.65,-98.0247
834,2012,2012-05-10,0,28.6756,-98.022
836,2012,2012-05-10,0,28.0908,-98.0255
841,2012,2012-05-10,0,27.7528,-97.4795
846,2012,2012-05-10,1,28.0014,-97.4671
848,2012,2012-05-10,0,28.1392,-97.2858
853,2012,2012-05-10,0,28.1961,-97.0014
857,2012,2012-05-11,0,26.1367,-97.6165
860,2012,2012-05-29,0,29.0348,-82.7569
932,2012,2012-06-24,1,27.8783,-82.8437
933,2012,2012-06-24,1,28.2372,-82.715
934,2012,2012-06-24,1,27.7,-82.74
935,2012,2012-07-13,0,29.0995,-90.1936
936,2012,2012-09-29,0,29.338,-97.0655
937,2012,2012-09-29,0,28.6179,-96.6423
938,2013,2013-04-29,0,28.04,-97.38
939,2013,2013-04-29,0,28.0958,-97.38
940,2013,2013-04-29,0,28.4207,-97.1312
941,2013,2013-05-25,0,29.3427,-98.1209
942,2013,2013-05-25,0,28.8719,-96.9825
943,2013,2013-06-02,0,27.6816,-97.5303
944,2013,2013-06-06,0,27.736,-82.71
945,2013,2013-06-19,0,29.2373,-89.9918
946,2013,2013-06-25,0,27.719,-82.7337
947,2013,2013-10-18,0,27.54,-97.77
948,2013,2013-10-21,0,27.4276,-97.8
1878,2011,2011-01-17,0,28.49,-80.865
1880,2011,2011-01-25,0,27.4391,-81.3698
1882,2011,2011-01-25,0,26.3459,-80.1321
1885,2011,2011-03-10,0,25.7508,-80.2048
1887,2011,2011-04-26,0,27.3068,-80.4201
1888,2011,2011-08-02,1,26.2,-80.25
1891,2011,2011-09-19,0,28.569000000000003,-81.2689
1892,2011,2011-10-18,0,26.9813,-81.086
1894,2011,2011-10-18,0,27.1045,-80.9425
1896,2011,2011-10-18,0,27.0512,-80.482
1898,2011,2011-10-18,0,27.5606,-80.3659
1900,2011,2011-10-18,2,26.1228,-80.3292
1903,2011,2011-10-29,0,27.105,-80.1599
1904,2011,2011-10-29,0,27.1087,-80.1502
1907,2012,2012-05-08,0,27.334,-80.443
1909,2012,2012-05-28,0,27.287,-80.3072
1911,2012,2012-06-01,0,27.2902,-80.7899
1912,2012,2012-06-24,0,26.84,-81.52
1914,2012,2012-06-24,0,27.04,-81.36
1915,2012,2012-06-24,0,26.634,-80.0645
1917,2012,2012-06-24,0,26.697,-80.068
1919,2012,2012-06-24,0,25.965999999999998,-80.118
1921,2012,2012-06-24,0,26.92,-81.34
1923,2012,2012-06-24,1,27.27,-81.44
1925,2012,2012-06-24,0,27.6694,-80.8961
1927,2012,2012-06-24,0,28.1035,-80.876
1929,2012,2012-06-24,0,28.5314,-80.8614
1930,2012,2012-06-26,0,27.2714,-81.023
1932,2012,2012-07-12,0,26.8397,-81.1282
1935,2012,2012-07-17,0,27.5215,-80.3856
1966,2012,2012-08-27,0,28.2707,-81.2232
1967,2012,2012-08-27,0,27.6256,-80.4956
1968,2012,2012-12-10,1,28.9112,-80.8675
1969,2012,2012-12-10,0,28.9386,-80.832
1970,2013,2013-02-14,0,26.513,-80.0771
1971,2013,2013-04-05,0,24.6352,-81.3474
1972,2013,2013-04-14,0,28.3771,-80.7388
1973,2013,2013-04-14,0,28.273000000000003,-80.7507
1974,2013,2013-04-30,0,26.5811,-80.0376
1975,2013,2013-05-02,0,26.3754,-80.0834
1976,2013,2013-06-06,0,26.6734,-80.6706
1977,2013,2013-06-06,1,26.78,-80.247
1978,2013,2013-06-06,0,26.2184,-80.4419
1979,2013,2013-07-19,0,26.2358,-80.0883
1980,2013,2013-07-23,0,26.0874,-80.1748
1981,2013,2013-09-16,0,26.399,-80.0774
1982,2013,2013-10-01,0,18.3349,-67.1876
2795,2011,2011-06-30,1,26.1184,-98.1937
2798,2011,2011-07-13,0,31.8677,-106.76
2802,2011,2011-07-19,0,29.35,-99.1832
2804,2011,2011-07-24,0,34.52,-110.08
2810,2011,2011-09-01,0,34.87,-110.12
2813,2011,2011-10-09,1,29.366,-98.632
