,disasterNumber,obligationAmount,state,incidentType,declarationTitle,incidentBeginDate,lat,lon,incidentDate,incidentTime
0,3345,904490.1400000002,WV,Severe Storms,SEVERE STORMS,2012-06-29T22:30:00.000Z,39.4535243,-78.0395522,2012-06-29,22:30:00.000Z
1,3346,842464.67,OH,Severe Storms,SEVERE STORMS,2012-06-29T22:00:00.000Z,38.8398935,-83.5051704,2012-06-29,22:00:00.000Z
2,3347,1409793.9200000009,LA,Hurricane,TROPICAL STORM ISAAC,2012-08-26T00:00:00.000Z,30.2116442,-90.9186104,2012-08-26,00:00:00.000Z
3,3348,253189.73000000004,MS,Hurricane,TROPICAL STORM ISAAC,2012-08-26T00:00:00.000Z,33.0777868,-89.5680661,2012-08-26,00:00:00.000Z
4,3349,0.0,MD,Hurricane,HURRICANE SANDY,2012-10-26T15:36:00.000Z,38.5288529,-76.537764,2012-10-26,15:36:00.000Z
5,3350,524921.7400000001,MA,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z,42.3999954,-73.2322639,2012-10-27,00:00:00.000Z
6,3351,522817.7499999998,NY,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z,42.5986896,-73.9843997,2012-10-27,00:00:00.000Z
7,3353,1341246.6900000004,CT,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z,41.8208345,-72.0051201,2012-10-27,00:00:00.000Z
8,3354,73340.33999999985,NJ,Hurricane,HURRICANE SANDY,2012-10-26T09:00:00.000Z,39.5143268,-74.6632883,2012-10-26,09:00:00.000Z
9,3355,9919.83,RI,Hurricane,HURRICANE SANDY,2012-10-26T00:00:00.000Z,41.7034082,-71.2844401,2012-10-26,00:00:00.000Z
10,3356,1992534.1600000001,PA,Hurricane,HURRICANE SANDY,2012-10-26T15:36:17.000Z,39.8708972,-77.2395963,2012-10-26,15:36:17.000Z
11,3357,1947.8300000000054,DE,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z,39.6159851,-75.662956,2012-10-27,00:00:00.000Z
12,3358,1266394.92,WV,Hurricane,HURRICANE SANDY,2012-10-29T15:36:00.000Z,39.1218129,-80.0135627,2012-10-29,15:36:00.000Z
13,3359,0.0,VA,Hurricane,HURRICANE SANDY,2012-10-26T15:36:00.000Z,37.573430099999996,-77.00691528741794,2012-10-26,15:36:00.000Z
16,3364,74585.50000000001,ND,Flood,FLOODING,2013-04-22T15:00:00.000Z,46.9241972,-97.220631,2013-04-22,15:00:00.000Z
17,3365,593304.0799999998,CO,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2013-09-11T20:00:00.000Z,39.8714085,-104.2701374,2013-09-11,20:00:00.000Z
19,3367,398791.32,PA,Severe Ice Storm,SEVERE WINTER STORM,2014-02-04T11:00:00.000Z,40.3451668,-75.1263909,2014-02-04,11:00:00.000Z
20,3368,689725.15,GA,Severe Ice Storm,SEVERE WINTER STORM,2014-02-10T00:00:00.000Z,33.0869398,-83.2633216,2014-02-10,00:00:00.000Z
21,3369,75552.74,SC,Severe Ice Storm,SEVERE WINTER STORM,2014-02-10T12:00:00.000Z,34.2264946,-82.4364036,2014-02-10,12:00:00.000Z
22,3370,778780.26,WA,Mud/Landslide,FLOODING AND MUDSLIDES,2014-03-22T10:37:00.000Z,48.0074736,-121.7304882,2014-03-22,10:37:00.000Z
23,3371,34610.01999999999,WA,Fire,WILDFIRES,2014-07-09T03:00:00.000Z,47.8012197,-120.6276904,2014-07-09,03:00:00.000Z
24,3372,519332.82999999996,WA,Fire,WILDFIRES,2015-08-13T00:00:00.000Z,47.90150735,-118.00646248046141,2015-08-13,00:00:00.000Z
25,3373,90527.50000000001,SC,Severe Storms,SEVERE STORMS AND FLOODING,2015-10-01T00:01:00.000Z,34.90524785,-80.8864620074782,2015-10-01,00:01:00.000Z
26,3374,3305732.2499999995,MO,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-12-22T12:00:00.000Z,39.2226625,-91.8467268,2015-12-22,12:00:00.000Z
27,3377,3728661.3899999997,FL,Hurricane,HURRICANE MATTHEW,2016-10-03T12:00:00.000Z,30.3143459,-82.2847163,2016-10-03,12:00:00.000Z
28,3378,321863.94999999995,SC,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,34.90524785,-80.8864620074782,2016-10-04,12:00:00.000Z
29,3379,312207.10000000015,GA,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z,31.7771435,-82.2996274,2016-10-04,12:00:01.000Z
30,3380,1376877.53,NC,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,36.04728285,-79.40037521708493,2016-10-04,12:00:00.000Z
32,3382,84896.38000000002,LA,Hurricane,TROPICAL STORM HARVEY,2017-08-27T08:09:00.000Z,30.2740735,-92.3957036,2017-08-27,08:09:00.000Z
33,3385,0.0,FL,Hurricane,HURRICANE IRMA,2017-09-04T21:00:00.000Z,29.675568,-82.3640109,2017-09-04,21:00:00.000Z
34,3386,37913.27000000003,SC,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,34.90524785,-80.8864620074782,2017-09-06,09:00:00.000Z
35,3387,0.0,GA,Hurricane,HURRICANE IRMA,2017-09-07T09:00:00.000Z,31.7771435,-82.2996274,2017-09-07,09:00:00.000Z
36,3388,0.0,FL,Hurricane,HURRICANE IRMA,2017-09-04T09:00:00.000Z,39.0052789,-76.9220657,2017-09-04,09:00:00.000Z
37,3389,0.0,AL,Hurricane,HURRICANE IRMA,2017-09-08T09:00:00.000Z,30.5677527,-87.7324392,2017-09-08,09:00:00.000Z
38,3392,50715.37999999999,LA,Hurricane,TROPICAL STORM NATE,2017-10-05T15:34:00.000Z,29.9185432,-91.0533996,2017-10-05,15:34:00.000Z
39,3396,77225.29999999999,CA,Fire,WILDFIRES,2017-12-04T18:00:00.000Z,34.3155072,-118.2096814,2017-12-04,18:00:00.000Z
40,3398,42664.259999999995,CA,Fire,WILDFIRE,2018-07-23T16:20:00.000Z,40.7965121,-121.9979194,2018-07-23,16:20:00.000Z
41,3399,1764347.4800000007,HI,Hurricane,HURRICANE LANE,2018-08-22T11:00:00.000Z,19.58955475,-155.44869830348483,2018-08-22,11:00:00.000Z
42,3400,0.0,SC,Hurricane,HURRICANE FLORENCE,2018-09-08T00:01:00.000Z,34.90524785,-80.8864620074782,2018-09-08,00:01:00.000Z
43,3401,5222.480000000447,NC,Hurricane,HURRICANE FLORENCE,2018-09-07T00:01:00.000Z,35.3205732,-83.80863175050891,2018-09-07,00:01:00.000Z
