,disasterNumber,obligationAmount,state,incidentType,declarationTitle,incidentBeginDate
0,3345,904490.1400000002,WV,Severe Storms,SEVERE STORMS,2012-06-29T22:30:00.000Z
1,3346,842464.67,OH,Severe Storms,SEVERE STORMS,2012-06-29T22:00:00.000Z
2,3347,1409793.9200000009,LA,Hurricane,TROPICAL STORM ISAAC,2012-08-26T00:00:00.000Z
3,3348,253189.73000000004,MS,Hurricane,TROPICAL STORM ISAAC,2012-08-26T00:00:00.000Z
4,3349,0.0,MD,Hurricane,HURRICANE SANDY,2012-10-26T15:36:00.000Z
5,3350,524921.7400000001,MA,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z
6,3351,522817.7499999998,NY,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z
7,3352,0.0,DC,Hurricane,HURRICANE SANDY,2012-10-28T15:36:00.000Z
8,3353,1341246.6900000004,CT,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z
9,3354,73340.33999999985,NJ,Hurricane,HURRICANE SANDY,2012-10-26T09:00:00.000Z
10,3355,9919.83,RI,Hurricane,HURRICANE SANDY,2012-10-26T00:00:00.000Z
11,3356,1992534.1600000001,PA,Hurricane,HURRICANE SANDY,2012-10-26T15:36:17.000Z
12,3357,1947.8300000000054,DE,Hurricane,HURRICANE SANDY,2012-10-27T00:00:00.000Z
13,3358,1266394.92,WV,Hurricane,HURRICANE SANDY,2012-10-29T15:36:00.000Z
14,3359,0.0,VA,Hurricane,HURRICANE SANDY,2012-10-26T15:36:00.000Z
17,3364,74585.50000000001,ND,Flood,FLOODING,2013-04-22T15:00:00.000Z
18,3365,593304.0799999998,CO,Flood,"SEVERE STORMS,  FLOODING,  LANDSLIDES,  AND MUDSLIDES",2013-09-11T20:00:00.000Z
20,3367,398791.32,PA,Severe Ice Storm,SEVERE WINTER STORM,2014-02-04T11:00:00.000Z
21,3368,689725.15,GA,Severe Ice Storm,SEVERE WINTER STORM,2014-02-10T00:00:00.000Z
22,3369,75552.74,SC,Severe Ice Storm,SEVERE WINTER STORM,2014-02-10T12:00:00.000Z
23,3370,778780.26,WA,Mud/Landslide,FLOODING AND MUDSLIDES,2014-03-22T10:37:00.000Z
24,3371,34610.01999999999,WA,Fire,WILDFIRES,2014-07-09T03:00:00.000Z
25,3372,519332.82999999996,WA,Fire,WILDFIRES,2015-08-13T00:00:00.000Z
26,3373,90527.50000000001,SC,Severe Storms,SEVERE STORMS AND FLOODING,2015-10-01T00:01:00.000Z
27,3374,3305732.2499999995,MO,Flood,"SEVERE STORMS,  TORNADOES,  STRAIGHT-LINE WINDS,  AND FLOODING",2015-12-22T12:00:00.000Z
28,3377,3728661.3899999997,FL,Hurricane,HURRICANE MATTHEW,2016-10-03T12:00:00.000Z
29,3378,321863.94999999995,SC,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z
30,3379,312207.10000000015,GA,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z
31,3380,1376877.53,NC,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z
33,3382,84896.38000000002,LA,Hurricane,TROPICAL STORM HARVEY,2017-08-27T08:09:00.000Z
34,3385,0.0,FL,Hurricane,HURRICANE IRMA,2017-09-04T21:00:00.000Z
35,3386,37913.27000000003,SC,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z
36,3387,0.0,GA,Hurricane,HURRICANE IRMA,2017-09-07T09:00:00.000Z
37,3388,0.0,FL,Hurricane,HURRICANE IRMA,2017-09-04T09:00:00.000Z
38,3389,0.0,AL,Hurricane,HURRICANE IRMA,2017-09-08T09:00:00.000Z
39,3392,50715.37999999999,LA,Hurricane,TROPICAL STORM NATE,2017-10-05T15:34:00.000Z
40,3396,77225.29999999999,CA,Fire,WILDFIRES,2017-12-04T18:00:00.000Z
41,3398,42664.259999999995,CA,Fire,WILDFIRE,2018-07-23T16:20:00.000Z
42,3399,1764347.4800000007,HI,Hurricane,HURRICANE LANE,2018-08-22T11:00:00.000Z
43,3400,0.0,SC,Hurricane,HURRICANE FLORENCE,2018-09-08T00:01:00.000Z
44,3401,5222.480000000447,NC,Hurricane,HURRICANE FLORENCE,2018-09-07T00:01:00.000Z
45,3403,1447572.950000002,VA,Hurricane,HURRICANE FLORENCE,2018-09-13T00:01:00.000Z
46,3404,0.0,HI,Hurricane,TROPICAL STORM OLIVIA,2018-09-09T15:30:00.000Z
47,3405,63619.72999999978,FL,Hurricane,HURRICANE MICHAEL,2018-10-07T08:38:00.000Z
48,3406,877144.7099999981,GA,Hurricane,HURRICANE MICHAEL,2018-10-09T08:38:00.000Z
49,3409,14401.300000000017,CA,Fire,WILDFIRES,2018-11-08T00:00:00.000Z
50,3410,23332.420000000006,AK,Earthquake,EARTHQUAKE,2018-11-30T00:00:00.000Z
51,3411,2525.88,OK,Flood,FLOODING,2019-05-07T00:01:00.000Z
52,3412,69710.70000000003,KS,Severe Storms,TORNADOES AND FLOODING,2019-05-09T00:00:00.000Z
53,3414,0.0,AR,Flood,SEVERE STORMS AND FLOODING,2019-05-21T08:00:00.000Z
