Title,Source,Date,Link
FEMA overhauls the National Flood Insurance Program for climate change,CNBC,2 days ago,https://www.cnbc.com/2021/08/17/fema-overhauls-national-flood-insurance-program-for-climate-change.html
Fix Disaster Response Now,Scientific American,2 days ago,https://www.scientificamerican.com/article/fix-disaster-response-now/
"Meet Marcus Coleman, New Director of DHS Center for Faith ...",| FEMA.gov,2 weeks ago,https://www.fema.gov/blog/meet-marcus-coleman-new-director-dhs-center-faith-based-and-neighborhood-partnerships
Why Biden might be spending too much on climate,E&E News,1 day ago,https://www.eenews.net/articles/why-biden-might-be-spending-too-much-on-climate/
"Calif., N.Y. and Texas win big in new Biden climate grants",E&E News,2 weeks ago,https://www.eenews.net/articles/calif-n-y-and-texas-win-big-in-new-biden-climate-grants/
"Lots of homeowners are dropping flood insurance, study shows",Marketplace.org,2 weeks ago,https://www.marketplace.org/2021/08/04/homeowners-are-dropping-flood-insurance-study-nobodys-sure-why/
Texas Coastal Residents On Alert As Atlantic Hurricane Season Shows No Signs Of Relenting,Houston Public Media,1 week ago,https://www.houstonpublicmedia.org/articles/news/weather/2021/08/09/405402/texas-coastal-residents-on-alert-as-atlantic-hurricane-season-shows-no-signs-of-relenting/
Jefferson County Man Guilty of FEMA Fraud Related to ...,Department of Justice,1 month ago,https://www.justice.gov/usao-edtx/pr/jefferson-county-man-guilty-fema-fraud-related-hurricane-harvey
Hurricane Harvey Housing Assistance Lacked Necessary ...,Homeland Security Today,1 month ago,https://www.hstoday.us/federal-pages/government-reports-and-summaries/hurricane-harvey-housing-assistance-lacked-necessary-controls-oig-finds/
FEMA Assistance Is Unfair To Poorer Disaster Survivors,NPR,1 month ago,https://www.npr.org/2021/06/29/1004347023/why-fema-aid-is-unavailable-to-many-who-need-it-the-most
Historic Disasters - Hurricane Harvey | FEMA.gov,| FEMA.gov,1 month ago,https://www.fema.gov/disaster/historic/hurricane-harvey
"Facing Hurricane and Wildfire Seasons, FEMA Is Already Worn Out",The New York Times,"May 21, 2021",https://www.nytimes.com/2021/05/20/climate/fema-staff-wildfires-hurricane-season.html
Historic Disasters | FEMA.gov,| FEMA.gov,1 month ago,https://www.fema.gov/disaster/historic
FEMA Is Changing Its Flood Insurance Program. Here’s How It Will Impact Texans,Houston Public Media,"Jun 24, 2021",https://www.houstonpublicmedia.org/articles/news/energy-environment/2021/06/24/401402/femas-changing-its-flood-insurance-program-heres-how-it-will-impact-texans/
From Homelessness to the Surge Capacity Force,| FEMA.gov,1 month ago,https://www.fema.gov/blog/homelessness-surge-capacity-force
Taylor delivers first convocation address,Lamar University Press,2 days ago,https://www.lamaruniversitypress.com/2021/08/taylor-delivers-first-convocation-address.php
Montgomery County FY 2022 Proposed Budget Lacks ...,Montgomery County Gazette,2 days ago,https://emcgazette.com/montgomery-county-fy-proposed-budget-lacks-transparency-p5227-214.htm
Local Gigs & Services: Does Your House's Position Affect It's ...,Patch,6 days ago,https://patch.com/district-columbia/washingtondc/classifieds/gigs-services/250370/does-your-houses-position-affect-it-s-flood-resistance
FEMA Disaster Aid Often Widens Racial Disparities,The New York Times,"Jun 8, 2021",https://www.nytimes.com/2021/06/07/climate/FEMA-race-climate.html
Lower-Income Survivors Are Less Likely To Get FEMA Aid ...,NPR,1 month ago,https://www.npr.org/2021/06/30/1011901524/lower-income-survivors-are-less-likely-to-get-fema-aid-after-disaster-documents-
Resources for the Future: 'What's at Stake? Understanding ...,InsuranceNewsNet,1 day ago,https://insurancenewsnet.com/oarticle/resources-for-the-future-whats-at-stake-understanding-role-of-home-equity-in-flood-insurance-demand
FEMA clears way for Harvey damaged-library near Energy Corridor to reopen,Houston Chronicle,"Apr 16, 2021",https://www.houstonchronicle.com/neighborhood/memorial/article/FEMA-clears-way-for-Harvey-damaged-library-near-16107319.php
Harris County gets nearly $10M from FEMA to restore Barker dam to pre-Harvey level of conveyance,Houston Chronicle,"Jun 23, 2021",https://www.houstonchronicle.com/neighborhood/bellaire/article/Harris-County-gets-nearly-10M-from-FEMA-to-16268397.php
Individual Assistance | FEMA.gov,| FEMA.gov,"Dec 16, 2020",https://www.fema.gov/assistance/individual
Most Oregonians who applied for FEMA wildfire aid denied,The Register Guard,"Feb 11, 2021",https://www.registerguard.com/story/news/2021/02/11/most-oregonians-who-applied-fema-wildfire-aid-denied/6727940002/
FEMA denied most Oregonians’ requests for wildfire disaster assistance,OPB,"Feb 11, 2021",https://www.opb.org/article/2021/02/11/oregon-2020-wildfires-fema-disaster-aid-denied/
Biden doubles funding for FEMA hurricane prep as busy storm season looms,NY Daily News,"May 24, 2021",https://www.nydailynews.com/news/politics/us-elections-government/ny-biden-fema-hurricane-preparedness-20210524-3v3btzblyjb3rg5zxvnjvarnqq-story.html
"FEMA Harvey statement: William Long says hurricane is ""a ...",The Washington Post,"Aug 27, 2017",https://www.washingtonpost.com/national/fema-director-says-harvey-is-probably-the-worst-disaster-in-texas-history/2017/08/27/ef01600a-8b3f-11e7-8df5-c2e5cf46c1e2_story.html
Minorities Face Unfair Distribution in Disaster Relief,Spectrum News,"Apr 6, 2021",https://spectrumlocalnews.com/tx/south-texas-el-paso/news/2021/04/05/unfair-distribution-causes-failure-in-disaster-relief-to-vulnerable-populations-
Disaster Assistance: FEMA Should Take Additional Actions to ...,Government Accountability Office,"Sep 29, 2020",https://www.gao.gov/products/gao-20-604
Disaster Housing: Improved Cost Data and Guidance Would ...,Government Accountability Office,"Dec 15, 2020",https://www.gao.gov/products/gao-21-116
Abbott and FEMA are using Harvey to reinvent disaster ...,The Texas Tribune,"Feb 27, 2018",https://www.texastribune.org/2018/02/27/texans-left-limbo-gov-abbott-fema-use-harvey-reinvent-disaster-respons/
FEMA Purchased More Manufactured Housing Units Than It ...,Homeland Security Today,"Mar 6, 2020",https://www.hstoday.us/subject-matter-areas/emergency-preparedness/fema-purchased-more-manufactured-housing-units-than-it-needed-in-texas-after-hurricane-harvey/
FEMA Mobile App and Text Messages | FEMA.gov,| FEMA.gov,"Mar 26, 2021",https://www.fema.gov/about/news-multimedia/mobile-app-text-messages
Infrastructure Bill Recognizes Climate Change Is a Crisis,The New York Times,2 weeks ago,https://www.nytimes.com/2021/08/03/climate/infrastructure-bill-climate-preparation.html
FEMA Plan Would Free Up Billions for Preventing Climate Disasters,The New York Times,"Jan 26, 2021",https://www.nytimes.com/2021/01/25/climate/fema-climate-spending-biden.html
EDITORIAL: Storm water management is a countywide concern,Carolina Coast Online,1 week ago,https://www.carolinacoastonline.com/news_times/opinions/editorials/article_43a1f73a-fa06-11eb-942d-4bac2b6e5420.html
"Texas said inland counties had lower disaster risk, yet ...",Houston Chronicle,"Jun 19, 2021",https://www.houstonchronicle.com/news/houston-texas/houston/article/Texas-said-inland-counties-had-a-lower-disaster-16256286.php
FEMA Has An Equity Problem : Short Wave,NPR,1 month ago,https://www.npr.org/transcripts/1011686930
