,femaDeclarationString,disasterNumber,state,state.1,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id,countyState,Unnamed: 25,Unnamed: 26,Unnamed: 27,lat,lon
0,DR-4607-MI,4607,MI,Michigan,DR,2021-07-15T10:41:00.000Z,2021,Severe Storms,"SEVERE STORMS,  FLOODING,  AND TORNADOES",1,0,0,1,2021-06-25T00:00:00.000Z,2021-06-26T23:59:00.000Z,,26,163,99163,Wayne County,21051,6862d74686de9eaea31be8c0d33a0051867f674c,2021-07-17T02:42:14.846Z,60f243865d037ccb7d217dbd,"Wayne County, Michigan",,,,42.2682408,-83.2844172
1,DR-4607-MI,4607,MI,Michigan,DR,2021-07-15T10:41:00.000Z,2021,Severe Storms,"SEVERE STORMS,  FLOODING,  AND TORNADOES",1,0,0,1,2021-06-25T00:00:00.000Z,2021-06-26T23:59:00.000Z,,26,161,99161,Washtenaw County,21051,c9f45069cae6640e009712d996cd8481e7b081f0,2021-07-17T02:42:14.846Z,60f243865d037ccb7d217dba,"Washtenaw County, Michigan",,,,42.2582044,-83.8440853
2,FM-5398-WA,5398,WA,Washington,FM,2021-07-14T18:36:00.000Z,2021,Fire,RED APPLE FIRE,0,0,1,1,2021-07-13T03:01:00.000Z,,,53,0,0,Statewide,21054,0a1f400f649de3ab95d21912ded0f302c7473449,2021-07-17T02:42:15.243Z,60f243875d037ccb7d2181eb,Washington,,,,38.8949924,-77.0365581
4,FM-5396-OR,5396,OR,Oregon,FM,2021-07-10T20:22:00.000Z,2021,Fire,BOOTLEG FIRE,0,0,1,1,2021-07-10T03:01:00.000Z,,,41,35,99035,Klamath County,21053,d5f2cd7a57557a2f7e245570c783bc293a14b530,2021-07-17T02:42:15.241Z,60f243875d037ccb7d2181e5,"Klamath County, Oregon",,,,42.6052565,-121.739544
5,FM-5395-WA,5395,WA,Washington,FM,2021-07-06T00:05:00.000Z,2021,Fire,ANDRUS FIRE,0,0,1,1,2021-07-05T03:01:00.000Z,,,53,63,99063,Spokane County,21050,1405e7ec10c3c404b02589533efbed63c62b608d,2021-07-13T23:02:24.882Z,60e704ec5d037ccb7d7c4eeb,"Spokane County, Washington",,,,47.5354964,-117.4074674
6,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,53,99053,Hernando County,21049,203d24ac6b99d26cd8fc6cd50069954174b704ea,2021-07-13T23:02:09.883Z,60e7040b5d037ccb7d66b0e9,"Hernando County, Florida",,,,28.5710156,-82.4605068
7,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,17,99017,Citrus County,21049,077c0390650ea64ff74c75e20f0c5baa3f00eaa2,2021-07-13T23:02:09.869Z,60e7040a5d037ccb7d66b0cb,"Citrus County, Florida",,,,28.8512851,-82.5141209
8,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,27,99027,DeSoto County,21049,cc8cc0df198237efeefc43c88cd4aeb847f197a7,2021-07-13T23:02:09.873Z,60e7040b5d037ccb7d66b0e1,"DeSoto County, Florida",,,,27.190253,-81.8244232
9,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,15,99015,Charlotte County,21049,9a7b435eb9e90624c99f1e7635a087a03a745404,2021-07-13T23:02:09.868Z,60e7040a5d037ccb7d66b0c8,"Charlotte County, Florida",,,,26.9013269,-81.9156799
10,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,49,99049,Hardee County,21049,5223b4c0a0a95c8ebb29a0be70bd730256d6927a,2021-07-13T23:02:09.882Z,60e7040b5d037ccb7d66b0e5,"Hardee County, Florida",,,,27.4856349,-81.8196804
11,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,21,99021,Collier County,21049,01db0737e43b2aee720141277e95a486d0916bf5,2021-07-13T23:02:09.871Z,60e7040b5d037ccb7d66b0d5,"Collier County, Florida",,,,26.087964,-81.3794941
12,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,57,99057,Hillsborough County,21049,491b5fa5fcdb2653bbe3ffbc759e370988f372ac,2021-07-13T23:02:09.884Z,60e7040b5d037ccb7d66b134,"Hillsborough County, Florida",,,,27.9184543,-82.3488057
13,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,71,99071,Lee County,21049,386d55545b158ffb01c5cb15f0211657fbed04b2,2021-07-13T23:02:09.893Z,60e7040b5d037ccb7d66b13b,"Lee County, Florida",,,,26.5999265,-81.8823135
14,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,86,99086,Miami-Dade County,21049,93ac215f05bd495bfdbc0684cd663cc8733e3257,2021-07-13T23:02:09.898Z,60e7040b5d037ccb7d66b141,"Miami-Dade County, Florida",,,,25.6364246,-80.4989467
15,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,81,99081,Manatee County,21049,8c35b29650156f69969e6a8e2791e5572d2965c9,2021-07-13T23:02:09.896Z,60e7040b5d037ccb7d66b13c,"Manatee County, Florida",,,,27.5213933,-82.3801566
16,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,87,99087,Monroe County,21049,b468f89bcf57a75880b6c27cc6de3e017ee7dc59,2021-07-13T23:02:09.899Z,60e7040b5d037ccb7d66b146,"Monroe County, Florida",,,,25.0405135,-80.8337157
17,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,103,99103,Pinellas County,21049,e052c9049f2a405c938ffd4ad7739a3e59ea3cd9,2021-07-13T23:02:09.905Z,60e7040b5d037ccb7d66b172,"Pinellas County, Florida",,,,27.8778904,-82.7329309
18,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,101,99101,Pasco County,21049,ae76c9a63aea6969b0264c1cdd08388b1d31cb6d,2021-07-13T23:02:09.902Z,60e7040b5d037ccb7d66b168,"Pasco County, Florida",,,,28.2996183,-82.4522702
19,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,115,99115,Sarasota County,21049,fcf6fb2cea88567cac7771baf9599cdc4f4c936d,2021-07-13T23:02:09.909Z,60e7040b5d037ccb7d66b177,"Sarasota County, Florida",,,,27.1813609,-82.3609195
20,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,75,99075,Levy County,21049,8527ce040e9ce511c9ca6cef8f5dd85436b388f1,2021-07-13T23:02:09.894Z,60e7040b5d037ccb7d66b252,"Levy County, Florida",,,,29.3008632,-82.7824592
21,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,1,99001,Alachua County,21049,24b23ffcdc8e43ff5e8f6831db58701c78d0389f,2021-07-13T23:02:09.865Z,60e704e05d037ccb7d7b34cb,"Alachua County, Florida",,,,29.675568,-82.3640109
22,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,23,99023,Columbia County,21049,00961fedc4e9594f5c777837c89f80902207d137,2021-07-13T23:02:09.872Z,60e704e05d037ccb7d7b34de,"Columbia County, Florida",,,,30.2095235,-82.62636971302578
23,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,47,99047,Hamilton County,21049,f304e8d3c41e5c4695dbeb8e98a683f108cb3a66,2021-07-13T23:02:09.881Z,60e704e05d037ccb7d7b34fb,"Hamilton County, Florida",,,,30.5232289,-82.9763531
24,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,41,99041,Gilchrist County,21049,ff19684b91e40dc83dcf258877ea183ce1a115f8,2021-07-13T23:02:09.877Z,60e704e05d037ccb7d7b34f2,"Gilchrist County, Florida",,,,29.7131619,-82.7975172
25,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,37,99037,Franklin County,21049,6a390178eb8dbb9c40916260760b6c0c3386253a,2021-07-13T23:02:09.876Z,60e704e05d037ccb7d7b34e6,"Franklin County, Florida",,,,29.8323143,-84.8239118
26,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,67,99067,Lafayette County,21049,a010f9b35de3f34fffcd67d872664030c3db4d54,2021-07-13T23:02:09.889Z,60e704e05d037ccb7d7b351d,"Lafayette County, Florida",,,,29.9978185,-83.2221527
27,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,65,99065,Jefferson County,21049,ed741cdde307fc4040df546b561e1ce1a603b46b,2021-07-13T23:02:09.886Z,60e704e05d037ccb7d7b3516,"Jefferson County, Florida",,,,30.3949531,-83.9326576
28,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,69,99069,Lake County,21049,9f71b0983bae6e8250f60fe67067f59a079d4d26,2021-07-13T23:02:09.890Z,60e704e05d037ccb7d7b351e,"Lake County, Florida",,,,28.7006859,-81.78994
29,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,29,99029,Dixie County,21049,9c01409dcf6f0ea7ec48901c429175cecf1d298e,2021-07-13T23:02:09.874Z,60e704e05d037ccb7d7b3525,"Dixie County, Florida",,,,29.6214008,-83.17351
30,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,119,99119,Sumter County,21049,66af09f2d9fccaf95cd7c9b010d6b128c1fe88d3,2021-07-13T23:02:09.910Z,60e704e05d037ccb7d7b355a,"Sumter County, Florida",,,,28.6689748,-82.076402
31,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,123,99123,Taylor County,21049,d2917e7c90275b73902c29bf58cf21967a41e313,2021-07-13T23:02:09.913Z,60e704e05d037ccb7d7b3567,"Taylor County, Florida",,,,30.0926733,-83.6377926
32,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,83,99083,Marion County,21049,bf9290d566e4abd3d997dafb08cfda481760fd4e,2021-07-13T23:02:09.897Z,60e704e05d037ccb7d7b353e,"Marion County, Florida",,,,29.2182454,-82.0626948
33,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,121,99121,Suwannee County,21049,c700838cc7c48b9bb8a08e9da01c1aa3df417562,2021-07-13T23:02:09.913Z,60e704e05d037ccb7d7b3562,"Suwannee County, Florida",,,,30.2101192,-82.9873377
34,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,129,99129,Wakulla County,21049,aff03746d8ca28369aa11f84ebd7dc55228db216,2021-07-13T23:02:09.916Z,60e704e05d037ccb7d7b356b,"Wakulla County, Florida",,,,30.1480038,-84.3543512
35,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,79,99079,Madison County,21049,547882d559c002d54ded5b2c61601c4964120465,2021-07-13T23:02:09.895Z,60e704e05d037ccb7d7b3531,"Madison County, Florida",,,,30.4514352,-83.4524524
36,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,7,99007,Bradford County,21049,caf61c2fa3e056e0cc7a9c8248369f3c56ff2aa1,2021-07-13T23:02:09.867Z,60e8779e5d037ccb7ddd197e,"Bradford County, Florida",,,,29.9715087,-82.1608653
37,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,3,99003,Baker County,21049,eee139a61aac13a236564cfdcc99248edbf79bcc,2021-07-13T23:02:09.865Z,60e8779e5d037ccb7ddd1968,"Baker County, Florida",,,,30.3143459,-82.2847163
38,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,31,99031,Duval County,21049,5f9cc4d612920c3c268dc8a31e4e2089146b7bab,2021-07-13T23:02:09.875Z,60e8779e5d037ccb7ddd1995,"Duval County, Florida",,,,30.3540073,-81.6632109
39,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,89,99089,Nassau County,21049,68995e9916db961444aff540af4233ee03efc729,2021-07-13T23:02:09.901Z,60e8779e5d037ccb7ddd19af,"Nassau County, Florida",,,,30.6624329,-81.7707334
40,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,107,99107,Putnam County,21049,1b76f5cfbebb4d80791ed60f4daa196fa9337e77,2021-07-13T23:02:09.906Z,60e8779e5d037ccb7ddd19b7,"Putnam County, Florida",,,,29.6266155,-81.7230549
41,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,19,99019,Clay County,21049,bccaaaa55dd5acb71a80c4f655fb7c5d8bbc6a38,2021-07-13T23:02:09.869Z,60e8779e5d037ccb7ddd1971,"Clay County, Florida",,,,29.9766524,-81.8470596
42,EM-3561-FL,3561,FL,Florida,EM,2021-07-04T21:25:00.000Z,2021,Severe Storms,TROPICAL STORM ELSA,0,0,1,0,2021-07-04T00:01:00.000Z,,,12,125,99125,Union County,21049,0b87aaeece34e84fb232b876442e4af24e09d2b9,2021-07-13T23:02:09.915Z,60e8779e5d037ccb7ddd19c9,"Union County, Florida",,,,30.044304,-82.3954479
43,FM-5394-OR,5394,OR,Oregon,FM,2021-06-30T02:00:00.000Z,2021,Fire,0419 FIRE,0,0,1,1,2021-06-29T00:01:00.000Z,,,41,17,99017,Deschutes County,21048,03c5772eba4fd4f7bde6611c578279ed137400b9,2021-07-13T23:02:24.881Z,60e703545d037ccb7d54b27e,"Deschutes County, Oregon",,,,43.8194838,-121.1669662
44,FM-5393-CA,5393,CA,California,FM,2021-06-29T01:49:00.000Z,2021,Fire,LAVA FIRE,0,0,1,1,2021-06-24T21:00:00.000Z,,,6,93,99093,Siskiyou County,21047,0e3eef04e9e13aafbbade19c3a3a916cfa6d4bbd,2021-07-13T23:02:24.880Z,60e702855d037ccb7d4297ab,"Siskiyou County, California",,,,41.5007223,-122.54435414752092
45,EM-3560-FL,3560,FL,Florida,EM,2021-06-25T00:14:00.000Z,2021,Other,SURFSIDE BUILDING COLLAPSE,1,0,1,0,2021-06-24T00:01:00.000Z,,,12,86,99086,Miami-Dade County,21046,d030697ae751cad0b9764e9fa9014b1354011cbe,2021-07-13T23:02:09.863Z,60d5e3085d037ccb7d0c3c08,"Miami-Dade County, Florida",,,,25.6364246,-80.4989467
46,FM-5392-MT,5392,MT,Montana,FM,2021-06-16T01:00:00.000Z,2021,Fire,ROBERTSON DRAW FIRE,0,0,1,1,2021-06-15T23:00:00.000Z,2021-06-20T23:59:00.000Z,,30,9,99009,Carbon County,21045,e1c20912f21c5fe946ec108aec860f18bfb89e7f,2021-07-13T23:02:24.879Z,60ca5411a0ee349d719bcf01,"Carbon County, Montana",,,,45.2050058,-109.1434792
47,FM-5391-UT,5391,UT,Utah,FM,2021-06-10T21:30:00.000Z,2021,Fire,PACK CREEK FIRE,0,0,1,1,2021-06-09T16:11:00.000Z,,,49,37,99037,San Juan County,21044,c902dccb4a101b99723bcfa182e787c08ba48d26,2021-07-13T23:02:24.877Z,60c3b876a0ee349d710bfe96,"San Juan County, Utah",,,,37.5859438,-109.7852018
48,FM-5390-NV,5390,NV,Nevada,FM,2021-06-09T21:51:00.000Z,2021,Fire,JACKS VALLEY FIRE,0,0,1,1,2021-06-09T16:50:00.000Z,,,32,5,99005,Douglas County,21043,78965875130179287e23b963c13282fe33d487b1,2021-07-13T23:02:24.876Z,60c3b876a0ee349d710bfe9a,"Douglas County, Nevada",,,,38.9072611,-119.6201824
49,FM-5389-AZ,5389,AZ,Arizona,FM,2021-06-06T14:20:00.000Z,2021,Fire,TELEGRAPH FIRE,0,0,1,1,2021-06-06T14:20:00.000Z,,,4,7,99007,Gila County,21041,d1c8c7570ae9430108f42fe4d34d14d55435594a,2021-07-13T23:02:24.875Z,60c3b876a0ee349d710bfe98,"Gila County, Arizona",,,,33.74135485,-110.68128894247536
50,FM-5389-AZ,5389,AZ,Arizona,FM,2021-06-06T14:20:00.000Z,2021,Fire,TELEGRAPH FIRE,0,0,1,1,2021-06-06T14:20:00.000Z,,,4,21,99021,Pinal County,21041,baa512e1c9f4cf981cd5fccd761d2daf781edcd4,2021-07-13T23:02:24.875Z,60c3b876a0ee349d710bfeab,"Pinal County, Arizona",,,,32.8085851,-111.4426212
