,county,state,lat,lon,year,date,disastertype,declarationtitle
0,Wayne County,MI,42.2682408,-83.2844172,2021,2021-07-15,Severe Storms,"SEVERE STORMS,  FLOODING,  AND TORNADOES"
1,Washtenaw County,MI,42.2582044,-83.8440853,2021,2021-07-15,Severe Storms,"SEVERE STORMS,  FLOODING,  AND TORNADOES"
2,Statewide,WA,38.8949924,-77.0365581,2021,2021-07-14,Fire,RED APPLE FIRE
4,Klamath County,OR,42.6052565,-121.739544,2021,2021-07-10,Fire,BOOTLEG FIRE
5,Spokane County,WA,47.5354964,-117.4074674,2021,2021-07-06,Fire,ANDRUS FIRE
6,Hernando County,FL,28.5710156,-82.4605068,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
7,Citrus County,FL,28.8512851,-82.5141209,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
8,DeSoto County,FL,27.190253,-81.8244232,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
9,Charlotte County,FL,26.9013269,-81.9156799,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
10,Hardee County,FL,27.4856349,-81.8196804,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
11,Collier County,FL,26.087964,-81.3794941,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
12,Hillsborough County,FL,27.9184543,-82.3488057,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
13,Lee County,FL,26.5999265,-81.8823135,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
14,Miami-Dade County,FL,25.6364246,-80.4989467,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
15,Manatee County,FL,27.5213933,-82.3801566,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
16,Monroe County,FL,25.0405135,-80.8337157,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
17,Pinellas County,FL,27.8778904,-82.7329309,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
18,Pasco County,FL,28.2996183,-82.4522702,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
19,Sarasota County,FL,27.1813609,-82.3609195,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
20,Levy County,FL,29.3008632,-82.7824592,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
21,Alachua County,FL,29.675568,-82.3640109,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
22,Columbia County,FL,30.2095235,-82.62636971302578,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
23,Hamilton County,FL,30.5232289,-82.9763531,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
24,Gilchrist County,FL,29.7131619,-82.7975172,2021,2021-07-04,Severe Storms,TROPICAL STORM ELSA
