femaDeclarationString,disasterNumber,stateName,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id,countyState
DR-1943-NY,1943,New York,NY,DR,2010-10-14T16:50:00.000Z,2011,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",0,0,1,1,2010-09-16T00:00:00.000Z,2010-09-16T14:25:33.000Z,2018-09-07T23:59:00.000Z,36,47,99047,Kings County,10116,e4ad01761a67dbf8d338e20afbf534b96c7ecdf4,2021-07-13T23:01:50.453Z,60c3b84ba0ee349d7109443a,"Kings County, New York"
DR-1943-NY,1943,New York,NY,DR,2010-10-14T16:50:00.000Z,2011,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",0,0,1,1,2010-09-16T00:00:00.000Z,2010-09-16T14:25:33.000Z,2018-09-07T23:59:00.000Z,36,81,99081,Queens County,10116,b11527168cdd78c43abef2100a14f21d1070cb18,2021-07-13T23:01:50.454Z,60c3b84ba0ee349d7109443f,"Queens County, New York"
DR-1943-NY,1943,New York,NY,DR,2010-10-14T16:50:00.000Z,2011,Tornado,"SEVERE STORMS, TORNADOES, AND STRAIGHT-LINE WINDS",0,0,1,1,2010-09-16T00:00:00.000Z,2010-09-16T14:25:33.000Z,2018-09-07T23:59:00.000Z,36,85,99085,Richmond County,10116,3eaf6112364b37342ac8964f17c715830d135ec0,2021-07-13T23:01:50.455Z,60c3b84ba0ee349d7109446c,"Richmond County, New York"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,27,99027,Inyo County,11002,9e2bf971b5da4473de9217c3e7966face3c9021e,2021-07-13T23:01:50.493Z,60c3b84ba0ee349d710945b9,"Inyo County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,29,99029,Kern County,11002,e8ac083a9d70510df8e4a983e76ad76bca401f29,2021-07-13T23:01:50.493Z,60c3b84ba0ee349d710945be,"Kern County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,59,99059,Orange County,11002,a6946edb9d4c448505402122f649efef24f3b08d,2021-07-13T23:01:50.494Z,60c3b84ba0ee349d710945cc,"Orange County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,71,99071,San Bernardino County,11002,6fe4360828fcc90f57a6103f71c922aa9a8a0922,2021-07-13T23:01:50.496Z,60c3b84ba0ee349d710945d4,"San Bernardino County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,73,99073,San Diego County,11002,9304a23515cf3835972ca57baf90828731a5a443,2021-07-13T23:01:50.496Z,60c3b84ba0ee349d710945d8,"San Diego County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,79,99079,San Luis Obispo County,11002,54a616772fa55c10071f087922714692d13d54ac,2021-07-13T23:01:50.497Z,60c3b84ba0ee349d710945da,"San Luis Obispo County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,83,99083,Santa Barbara County,11002,e495417e2e505532f754f18c5a43321569ddfb1a,2021-07-13T23:01:50.498Z,60c3b84ba0ee349d710945dc,"Santa Barbara County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,107,99107,Tulare County,11002,bc2f6f7f104817a92e09fd8bdeb3574be7386d25,2021-07-13T23:01:50.499Z,60c3b84ba0ee349d710945e0,"Tulare County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,31,99031,Kings County,11002,cc1ee99cc9074ac2628ceaf2aa95d3c25994ffcd,2021-07-13T23:01:50.494Z,60c3b84ba0ee349d710945e4,"Kings County, California"
DR-1952-CA,1952,California,CA,DR,2011-01-26T15:00:00.000Z,2011,Flood,"SEVERE WINTER STORMS, FLOODING, AND DEBRIS AND MUD FLOWS",0,0,1,1,2010-12-17T00:00:00.000Z,2011-01-04T00:00:00.000Z,,6,65,99065,Riverside County,11002,b2f4380105569f95f2d30c7fffb115eb1829c029,2021-07-13T23:01:50.495Z,60c3b84ba0ee349d710945ef,"Riverside County, California"
DR-1955-UT,1955,Utah,UT,DR,2011-02-11T15:00:00.000Z,2011,Flood,SEVERE WINTER STORM AND FLOODING,0,0,1,1,2010-12-20T00:00:00.000Z,2010-12-24T00:00:00.000Z,2018-07-31T23:59:00.000Z,49,17,99017,Garfield County,11004,c03ee1e6572c04bc495b1d05b86f088417781d2d,2021-07-13T23:01:50.513Z,60c3b84ba0ee349d7109464c,"Garfield County, Utah"
DR-1955-UT,1955,Utah,UT,DR,2011-02-11T15:00:00.000Z,2011,Flood,SEVERE WINTER STORM AND FLOODING,0,0,1,1,2010-12-20T00:00:00.000Z,2010-12-24T00:00:00.000Z,2018-07-31T23:59:00.000Z,49,25,99025,Kane County,11004,ecfed985b8750df33016d55dd1428acd3f414eb5,2021-07-13T23:01:50.514Z,60c3b84ba0ee349d7109464e,"Kane County, Utah"
DR-1955-UT,1955,Utah,UT,DR,2011-02-11T15:00:00.000Z,2011,Flood,SEVERE WINTER STORM AND FLOODING,0,0,1,1,2010-12-20T00:00:00.000Z,2010-12-24T00:00:00.000Z,2018-07-31T23:59:00.000Z,49,53,99053,Washington County,11004,49338e30c5dd9ed2903f2260f991f9342e22fbc5,2021-07-13T23:01:50.514Z,60c3b84ba0ee349d71094658,"Washington County, Utah"
DR-1964-OR,1964,Oregon,OR,DR,2011-03-25T18:30:00.000Z,2011,Tsunami,TSUNAMI WAVE SURGE,0,0,1,1,2011-03-11T12:09:46.000Z,2011-03-11T00:00:00.000Z,2017-09-28T23:59:00.000Z,41,15,99015,Curry County,11029,694c285d1fb2b9a078bc520f389d3a443801eb7c,2021-07-13T23:01:50.652Z,60c3b84ba0ee349d71094ac1,"Curry County, Oregon"
DR-1964-OR,1964,Oregon,OR,DR,2011-03-25T18:30:00.000Z,2011,Tsunami,TSUNAMI WAVE SURGE,0,0,1,1,2011-03-11T12:09:46.000Z,2011-03-11T00:00:00.000Z,2017-09-28T23:59:00.000Z,41,11,99011,Coos County,11029,3c60100a46b69d26b4dde7da5c47011c5611a0c4,2021-07-13T23:01:50.652Z,60c3b84ba0ee349d71094ac6,"Coos County, Oregon"
DR-1964-OR,1964,Oregon,OR,DR,2011-03-25T18:30:00.000Z,2011,Tsunami,TSUNAMI WAVE SURGE,0,0,1,1,2011-03-11T12:09:46.000Z,2011-03-11T00:00:00.000Z,2017-09-28T23:59:00.000Z,41,41,99041,Lincoln County,11029,f9e87bf006b2f60bb0f312c77a7fa4c22bfaadb0,2021-07-13T23:01:50.653Z,60c3b84ba0ee349d71094aca,"Lincoln County, Oregon"
DR-1967-HI,1967,Hawaii,HI,DR,2011-04-08T16:00:00.000Z,2011,Tsunami,TSUNAMI WAVES,0,0,1,1,2011-03-11T04:49:00.000Z,2011-03-11T00:00:00.000Z,,15,3,99003,Honolulu County,11042,28fe6b552049ee95a8050c51a9c6a66262e6a87c,2021-07-13T23:01:50.671Z,60c3b84ba0ee349d71094b40,"Honolulu County, Hawaii"
DR-1967-HI,1967,Hawaii,HI,DR,2011-04-08T16:00:00.000Z,2011,Tsunami,TSUNAMI WAVES,0,0,1,1,2011-03-11T04:49:00.000Z,2011-03-11T00:00:00.000Z,,15,9,99009,Maui County,11042,34e728d580249f7a342358a3954fa63df8d73609,2021-07-13T23:01:50.672Z,60c3b84ba0ee349d71094b47,"Maui County, Hawaii"
DR-1967-HI,1967,Hawaii,HI,DR,2011-04-08T16:00:00.000Z,2011,Tsunami,TSUNAMI WAVES,0,0,1,1,2011-03-11T04:49:00.000Z,2011-03-11T00:00:00.000Z,,15,1,99001,Hawaii County,11042,2b69adb0fbbe2f2902c6a090b59d77370fccae7f,2021-07-13T23:01:50.671Z,60c3b84ba0ee349d71094b4e,"Hawaii County, Hawaii"
DR-1968-CA,1968,California,CA,DR,2011-04-18T14:00:00.000Z,2011,Tsunami,TSUNAMI WAVES,0,0,1,1,2011-03-11T04:49:00.000Z,2011-03-11T23:59:00.000Z,,6,53,99053,Monterey County,11051,42f26f0b9a9aafc81c69193f6135b6a12fddc197,2021-07-13T23:01:50.673Z,60c3b84ba0ee349d71094b5f,"Monterey County, California"
DR-1968-CA,1968,California,CA,DR,2011-04-18T14:00:00.000Z,2011,Tsunami,TSUNAMI WAVES,0,0,1,1,2011-03-11T04:49:00.000Z,2011-03-11T23:59:00.000Z,,6,87,99087,Santa Cruz County,11051,39e61d9a5a5eaedf4bf9aa56e0fb7688a8255982,2021-07-13T23:01:50.674Z,60c3b84ba0ee349d71094b63,"Santa Cruz County, California"
DR-1968-CA,1968,California,CA,DR,2011-04-18T14:00:00.000Z,2011,Tsunami,TSUNAMI WAVES,0,0,1,1,2011-03-11T04:49:00.000Z,2011-03-11T23:59:00.000Z,,6,15,99015,Del Norte County,11051,ece896e00340f38e6623e7f87e5e8a8c83b8f566,2021-07-13T23:01:50.672Z,60c3b84ba0ee349d71094b69,"Del Norte County, California"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,0,27340,Fort Berthold Indian Reservation,11104,aa3587fbc1529b0c8f0219705da4f00cc102a8b9,2021-07-13T23:01:51.127Z,60c3b84ca0ee349d71095425,"Fort Berthold Indian Reservation, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,0,80020,Turtle Mountain Indian Reservation,11104,c0ce5790395144d79ad1b59937e00acd6f80abd3,2021-07-13T23:01:51.128Z,60c3b84ca0ee349d7109542a,"Turtle Mountain Indian Reservation, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,7,99007,Billings County,11104,4d5c001b2040d4f29972bafcfb4003602628a811,2021-07-13T23:01:51.129Z,60c3b84ca0ee349d7109542d,"Billings County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,9,99009,Bottineau County,11104,5fbee7965b7748fcb2e75de0849daf5b425c4fa6,2021-07-13T23:01:51.130Z,60c3b84ca0ee349d71095430,"Bottineau County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,13,99013,Burke County,11104,9cacc7940af440fcbf0baed84737b4f0329f1a81,2021-07-13T23:01:51.130Z,60c3b84ca0ee349d71095433,"Burke County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,17,99017,Cass County,11104,6867d6d5aaa9d771d7b67c5b1f9f88a2436e1276,2021-07-13T23:01:51.132Z,60c3b84ca0ee349d7109543b,"Cass County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,0,75300,Standing Rock Sioux Tribe of North & South Dakota,11104,7bc40863dee5c08c8c481580d68c3a0b5b824d19,2021-07-13T23:01:51.127Z,60c3b84ca0ee349d7109543d,"Standing Rock Sioux Tribe of North & South Dakota, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,21,99021,Dickey County,11104,d46ecac3c394dd33467a9250bd197dc468eccc58,2021-07-13T23:01:51.136Z,60c3b84ca0ee349d71095443,"Dickey County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,31,99031,Foster County,11104,dee5d49a3a07bc57ce3ec54d45e46eb4237007d4,2021-07-13T23:01:51.138Z,60c3b84ca0ee349d7109544b,"Foster County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,35,99035,Grand Forks County,11104,c2ff7daca392e26a980fb955194329a6cb0ede80,2021-07-13T23:01:51.139Z,60c3b84ca0ee349d7109545a,"Grand Forks County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,43,99043,Kidder County,11104,63f95bef2dd0cda27b7f8fa751eab25dad3c7825,2021-07-13T23:01:51.142Z,60c3b84ca0ee349d7109546a,"Kidder County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,39,99039,Griggs County,11104,53a55671dee10fa7914169d15a7737da93520cdb,2021-07-13T23:01:51.141Z,60c3b84ca0ee349d7109546f,"Griggs County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,37,99037,Grant County,11104,f082ba9029c6d56e3ec6e7044ecdfc18ebf59d63,2021-07-13T23:01:51.140Z,60c3b84ca0ee349d71095472,"Grant County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,19,99019,Cavalier County,11104,e6af7ab91930f014c437e488c6d0e15491d77184,2021-07-13T23:01:51.135Z,60c3b84ca0ee349d71095475,"Cavalier County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,27,99027,Eddy County,11104,603ae00f10d89846883188b7ad0469e48270453c,2021-07-13T23:01:51.137Z,60c3b84ca0ee349d7109547a,"Eddy County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,23,99023,Divide County,11104,817f9779cb43982ca958b239e54b556c44083889,2021-07-13T23:01:51.136Z,60c3b84ca0ee349d7109547d,"Divide County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,45,99045,LaMoure County,11104,3f2f24dddd4d781fbdf3caac387dd947f408167e,2021-07-13T23:01:51.143Z,60c3b84ca0ee349d71095484,"LaMoure County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,47,99047,Logan County,11104,2d136f50ee4045bd6fa682064fa60b16ff2a852a,2021-07-13T23:01:51.144Z,60c3b84ca0ee349d71095488,"Logan County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,51,99051,McIntosh County,11104,2f28a35b0301c1423522c1af78788755b660b1c5,2021-07-13T23:01:51.144Z,60c3b84ca0ee349d7109548f,"McIntosh County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,53,99053,McKenzie County,11104,e3a11ba0c35d909b80ae9b4075ee0a553b8efe7d,2021-07-13T23:01:51.145Z,60c3b84ca0ee349d71095498,"McKenzie County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,55,99055,McLean County,11104,73cf93e81e426a23fb26ff8ee878c2c4253a0767,2021-07-13T23:01:51.146Z,60c3b84ca0ee349d7109549c,"McLean County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,57,99057,Mercer County,11104,8526b9e28ad9a9f6af90e88faf5db534804b6f25,2021-07-13T23:01:51.146Z,60c3b84ca0ee349d710954a4,"Mercer County, North Dakota"
DR-1981-ND,1981,North Dakota,ND,DR,2011-05-10T19:00:00.000Z,2011,Flood,FLOODING,0,0,1,1,2011-02-14T00:00:00.000Z,2011-07-20T00:00:00.000Z,2021-05-28T23:59:00.000Z,38,61,99061,Mountrail County,11104,aa922821c107571ce499a1de7312f6304027e20d,2021-07-13T23:01:51.147Z,60c3b84ca0ee349d710954aa,"Mountrail County, North Dakota"
